id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,scribe
0,-0.091897,0.2976,0.07914500000000001,0.196496,0.261718,1.26996,0.446679,-0.751707,0.001721,0.998901,Philippus
1,-0.091897,0.22693899999999997,0.26763400000000004,0.024091,0.261718,-0.8062819999999999,0.597681,-0.6012770000000001,0.126447,-0.9096190000000001,Paithonius
2,0.167323,0.313302,0.16805499999999998,-0.383198,0.261718,0.190314,0.824183,0.55825,-0.247731,-0.148073,Marcus
3,-0.017834,-0.22843000000000002,0.37077,1.293671,0.17234000000000002,0.8962370000000001,0.182426,0.416867,1.3737059999999999,0.8682840000000001,Noaelius
4,0.043885,0.407516,-0.12001400000000001,0.28174299999999997,0.261718,-0.183409,0.106925,0.142896,0.531806,-0.101311,Marcus
5,9.943651,-0.220579,-0.048886,-0.675372,-3.045274,3.719926,2.37195,-2.598171,-2.898156,1.370295,Begonius
6,-0.178304,-0.189174,0.26407800000000003,-0.6404920000000001,0.17234000000000002,0.231839,0.144676,-1.605713,-1.900349,0.266479,Marcus
7,-0.178304,0.258344,-0.12357,0.22830300000000003,0.08296100000000001,-0.266459,0.824183,-0.109251,-0.310094,-0.552848,Philippus
8,0.14263599999999999,-0.142067,0.24629600000000001,0.789259,-1.347089,1.145386,0.710932,0.51142,-0.185368,0.728878,Marcus
9,0.031541,-2.426761,0.37077,0.77977,0.17234000000000002,0.397939,0.6354310000000001,1.033035,0.344717,0.11595899999999999,Marcus
10,0.229043,-0.22843000000000002,0.32453699999999996,-0.8691409999999999,0.261718,-0.847807,0.220177,0.013550999999999999,0.001721,-0.7689600000000001,Philippus
11,-0.017834,-0.354049,0.42056000000000004,-0.176032,0.261718,-0.432558,0.220177,-0.137559,0.157628,-0.401785,Philippus
12,0.019197,-0.087108,0.292529,0.24077600000000002,0.17234000000000002,0.14879,-2.4223529999999998,-0.117192,-0.37245700000000004,-1.766691,Marcus
13,-0.128929,0.289748,0.235627,1.0574729999999999,0.17234000000000002,-0.22493400000000002,0.748682,0.299754,0.62535,-0.47648999999999997,Franciscus
14,-3.4123919999999996,0.148427,0.438342,-1.0477809999999999,-3.22403,-1.9274529999999999,0.371178,2.530856,-3.7400559999999996,-1.802109,Franciscus
15,0.57467,0.085618,0.310311,-2.167514,0.261718,-1.38763,0.069175,-2.656145,-1.307901,-1.199159,Paithonius
16,0.019197,0.038511000000000004,0.19295,0.323367,0.261718,0.273364,0.899684,-1.275457,-0.8089970000000001,-0.124456,Philippus
17,-0.22768000000000002,-0.503221,0.40633400000000003,-0.671732,0.261718,0.688613,0.295677,0.670899,0.656532,0.5589850000000001,Franciscus
18,0.068573,-0.20487600000000003,0.424116,1.412158,0.261718,0.9377620000000001,0.484429,1.2479049999999998,0.562987,0.6804279999999999,Marcus
19,0.47591999999999995,-0.43256000000000006,0.11470899999999999,-0.8709600000000001,0.976743,-1.1800059999999999,-1.478592,-1.5945690000000001,-0.029461,-0.136331,Begonius
20,0.019197,-0.11851300000000001,0.345875,-1.086511,0.261718,0.356414,0.144676,-1.188204,-0.746634,0.365151,Philippus
21,0.056228999999999994,-0.29123899999999997,0.23918299999999998,0.767954,0.17234000000000002,1.0623360000000002,0.408929,0.078806,-0.185368,0.844475,Marcus
22,-0.116585,-0.016447999999999997,0.288973,0.48374700000000004,0.17234000000000002,-0.14188399999999998,0.446679,0.160972,0.064084,-0.253736,Philippus
23,0.648733,-0.197025,0.029355000000000003,0.335213,-0.185173,-2.0105020000000002,-1.25209,-1.369156,-0.559546,-1.118848,Begonius
24,0.229043,-0.000745,0.17161099999999999,-0.002793,0.261718,2.183507,0.446679,-1.402084,-0.497183,1.808741,Marcus
25,0.14263599999999999,-0.142067,0.24629600000000001,0.789259,-1.347089,0.397939,0.408929,0.9052620000000001,0.126447,0.24347800000000003,Marcus
26,0.043885,0.69801,0.022241999999999998,0.912997,0.261718,-0.183409,-0.157328,1.296949,0.095265,0.06010700000000001,Philippus
27,-0.26471100000000003,-0.09496,0.015130000000000001,-0.597346,0.261718,1.103861,-0.45933100000000004,-2.4259560000000002,-2.305708,1.449618,Franciscus
28,0.056228999999999994,0.43107,-3.210528,-1.133148,0.261718,0.854712,0.484429,-1.0599459999999998,-0.247731,0.602576,Marcus
29,-0.33877399999999996,-0.314793,0.449011,1.243006,0.797987,-0.764757,-1.478592,1.494151,2.52742,0.31376,Noaelius
30,0.327793,-2.426761,0.008017,-0.54498,-0.006417,0.024215,0.446679,0.027103,-0.029461,-0.10878499999999999,Marcus
31,0.15498,0.140576,0.228514,0.766134,-1.257711,0.688613,1.2016870000000002,0.211569,0.18880999999999998,0.070342,Marcus
32,-0.030177999999999996,0.391814,0.21784499999999998,-0.07332999999999999,0.261718,1.145386,0.333428,-0.248887,0.718895,0.982819,Ubuntius
33,-0.017834,-0.149918,-2.975805,-1.078156,0.08296100000000001,-0.432558,-0.044076,0.42832299999999995,0.064084,-0.25138499999999997,Philippus
34,-0.128929,-0.409007,0.17516800000000002,-0.256565,0.08296100000000001,-0.183409,0.408929,0.669248,0.344717,-0.276616,Franciscus
35,0.14263599999999999,-0.24413200000000002,-3.206971,0.165524,0.887365,-0.764757,-1.440842,0.917416,-0.278912,0.263236,Begonius
36,-0.153617,-0.087108,0.299642,0.689629,0.261718,1.8513080000000002,0.182426,-1.515606,-0.43482,1.6940959999999998,Philippus
37,-3.4370800000000004,-0.024299,5.196809,-1.63562,-3.3134080000000004,-1.055431,0.182426,2.551339,-3.272334,-0.926364,Marcus
38,-0.22768000000000002,-0.11066199999999998,0.196506,1.060099,0.261718,0.439463,0.333428,0.774305,1.560794,0.330312,Noaelius
39,0.15498,-0.040001,0.363657,1.200934,0.261718,1.186911,0.295677,-0.315268,-0.185368,1.019768,Marcus
40,-0.079554,0.187683,-0.070224,0.211236,0.261718,-0.9723809999999999,0.220177,-2.94924,-3.272334,-0.871417,Marcus
41,-0.301743,-0.511072,0.463236,0.710665,0.261718,0.813187,0.408929,0.008639,0.594169,0.618212,Franciscus
42,0.204355,-0.134216,0.043581,-0.6548729999999999,0.261718,-0.764757,0.371178,0.0017079999999999999,0.781258,-0.768116,Franciscus
43,0.019197,-0.605286,0.5023569999999999,0.181368,0.17234000000000002,0.522513,0.295677,0.40985900000000003,0.219991,0.42248500000000005,Marcus
44,-0.33877399999999996,-0.22843000000000002,0.584154,2.123586,0.261718,0.605563,-0.006326,0.661482,2.558602,0.68161,Noaelius
45,0.117948,-0.189174,0.029355000000000003,0.763359,0.887365,-0.22493400000000002,-0.9878370000000001,0.652745,-0.247731,0.514333,Begonius
